name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
Hyundai i10 Magna 1.1L,2015,4563,45000,Petrol,Dealer,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,5
Volkswagen Vento Petrol Highline,2012,6955,12000,Petrol,Dealer,Manual,Second Owner,15.04 kmpl,1598 CC,103.6 bhp,5
Maruti Zen Estilo LXI BSIII,2009,2275,55500,Petrol,Dealer,Manual,First Owner,18.2 kmpl,998 CC,67.1 bhp,5
Hyundai i20 Asta Optional with Sunroof 1.2,2013,6825,61500,Petrol,Dealer,Manual,First Owner,18.5 kmpl,1197 CC,82.85 bhp,5
Maruti Swift Dzire LDI,2016,7800,150000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,5
Hyundai Xcent 1.2 Kappa SX Option AT,2016,7345,72000,Petrol,Dealer,Automatic,First Owner,19.1 kmpl,1197 CC,82 bhp,5
Maruti Alto LX BSIII,2008,1560,68000,Petrol,Dealer,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,5
Hyundai i20 1.4 Asta Option,2017,9425,110000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,5
Maruti Wagon R VXI,2009,2405,77000,Petrol,Dealer,Manual,Second Owner,21.79 kmpl,998 CC,67.05 bhp,5
Tata Manza Aura (ABS) Quadrajet,2010,2600,100000,Diesel,Individual,Manual,Second Owner,18.8 kmpl,1248 CC,90 bhp,5
Maruti Swift VXI,2019,7995,10000,Petrol,Individual,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,5
Maruti Eeco 7 Seater Standard BSIV,2016,3510,100000,Petrol,Individual,Manual,Third Owner,15.37 kmpl,1196 CC,73 bhp,7
Maruti Baleno Zeta 1.2,2018,7930,35000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,5
Mahindra Scorpio VLX AT AIRBAG BSIV,2014,8125,70000,Diesel,Individual,Automatic,Second Owner,11.79 kmpl,2179 CC,120 bhp,8
Ford Freestyle Titanium Petrol BSIV,2020,5200,5000,Petrol,Individual,Manual,Second Owner,19.0 kmpl,1194 CC,94.68 bhp,5
Hyundai Verna VTVT 1.6 SX,2017,11258,37800,Petrol,Individual,Manual,First Owner,17.0 kmpl,1591 CC,121.3 bhp,5
Volkswagen Passat 1.8 TSI MT,2010,9100,114000,Petrol,Individual,Manual,First Owner,14.3 kmpl,1798 CC,160 bhp,5
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,3900,48000,Petrol,Individual,Manual,First Owner,15.8 kmpl,1172 CC,65 bhp,5
Mahindra XUV500 W11 Option AWD,2019,22100,32000,Diesel,Individual,Manual,First Owner,15.1 kmpl,2179 CC,155 bhp,7
Tata Indigo CS LS (TDI) BS-III,2016,4875,100000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1405 CC,69.01 bhp,5
Hyundai Verna 1.6 SX,2013,6786,150000,Diesel,Individual,Manual,Second Owner,22.32 kmpl,1582 CC,126.32 bhp,5
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,5875.987,69000,Diesel,Individual,Manual,First Owner,21.9 kmpl,1396 CC,88.76 bhp,5
Toyota Corolla Altis G,2009,3900,100000,Petrol,Individual,Manual,Second Owner,14.53 kmpl,1798 CC,138.1 bhp,5
Maruti Celerio VXI,2020,6175,13000,Petrol,Individual,Manual,First Owner,21.63 kmpl,998 CC,67.04 bhp,5
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,10140,60000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5
Maruti Swift Dzire VXI,2017,7735,40000,Petrol,Individual,Manual,First Owner,20.85 kmpl,1197 CC,83.14 bhp,5
Maruti Wagon R VXI BS IV,2017,5720,35000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,5
Maruti Swift VDI BSIV,2010,3900,120000,Diesel,Individual,Manual,Second Owner,,,,
Nissan Terrano XL 85 PS,2014,5200,70000,Diesel,Individual,Manual,Third Owner,20.45 kmpl,1461 CC,83.8 bhp,5
Hyundai Creta 1.6 CRDi SX,2016,14820,50000,Diesel,Individual,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,5
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,11050,76139,Diesel,Individual,Manual,First Owner,23.0 kmpl,1498 CC,98.96 bhp,5
Maruti Swift Dzire VDi,2012,4810,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3 kmpl,1248 CC,73.9 bhp,5
Renault KWID 1.0,2018,4550,25000,Petrol,Individual,Manual,First Owner,23.01 kmpl,999 CC,67 bhp,5
Maruti Celerio VXI,2015,4680,40000,Petrol,Individual,Manual,Second Owner,23.1 kmpl,998 CC,67.04 bhp,5
Maruti Alto LXi,2008,1365,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,46.3 bhp,5
Maruti Ertiga VDI,2013,8125,90000,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,7
Hyundai Santro Xing GLS,2009,1755,80000,Petrol,Individual,Manual,Second Owner,17.92 kmpl,1086 CC,62.1 bhp,5
Maruti Ertiga VDI,2015,9100,110000,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,7
Honda Amaze S i-VTEC,2019,8970,1303,Petrol,Dealer,Manual,First Owner,17.8 kmpl,1198 CC,86.7 bhp,5
Audi Q5 35TDI Premium Plus,2018,51675,31800,Diesel,Dealer,Automatic,First Owner,17.01 kmpl,1968 CC,188 bhp,5
Lexus ES 300h,2019,66950,20000,Petrol,Dealer,Automatic,First Owner,22.37 kmpl,2487 CC,214.56 bhp,5
Jaguar XF 2.0 Diesel Portfolio,2017,41600,45000,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,5
Jeep Wrangler 2016-2019 3.6 4X4,2017,53300,17000,Petrol,Individual,Automatic,First Owner,9.5 kmpl,3604 CC,280 bhp,5
Land Rover Discovery Sport TD4 SE,2019,58500,21000,Diesel,Dealer,Automatic,First Owner,12.83 kmpl,1999 CC,148.31 bhp,7
Mercedes-Benz S-Class S 350 CDI,2017,78000,37000,Diesel,Dealer,Automatic,First Owner,13.5 kmpl,2987 CC,254.79 bhp,5
BMW 5 Series 520d Sport Line,2018,49270,29500,Diesel,Dealer,Automatic,First Owner,22.48 kmpl,1995 CC,187.74 bhp,5
BMW X1 sDrive 20D xLine,2017,27950,27000,Diesel,Dealer,Automatic,First Owner,,,,
BMW X4 M Sport X xDrive20d,2019,75400,7500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,5
Skoda Superb LK 1.8 TSI AT,2018,24244.987,50000,Petrol,Dealer,Automatic,First Owner,14.67 kmpl,1798 CC,177.46 bhp,5
Mercedes-Benz E-Class E250 Edition E,2016,35100,35000,Diesel,Dealer,Automatic,First Owner,15.0 kmpl,2143 CC,204 bhp,5
MG Hector Sharp AT BSIV,2019,22750,19000,Petrol,Dealer,Automatic,First Owner,13.96 kmpl,1451 CC,141 bhp,5
Honda City i-VTEC CVT VX,2017,10335,41000,Petrol,Dealer,Automatic,First Owner,18.0 kmpl,1497 CC,117.6 bhp,5
Toyota Corolla Altis 1.8 G CVT,2013,8125,39000,Petrol,Dealer,Automatic,First Owner,14.28 kmpl,1798 CC,138.03 bhp,5
Volvo XC40 D4 R-Design,2018,44200,22000,Diesel,Dealer,Automatic,First Owner,18.0 kmpl,1969 CC,190 bhp,5
Audi Q7 35 TDI Quattro Premium,2015,34450,53000,Diesel,Dealer,Automatic,First Owner,12.07 kmpl,2967 CC,241.4 bhp,7
Maruti Ciaz ZDi,2015,6955,40000,Diesel,Dealer,Manual,First Owner,26.21 kmpl,1248 CC,88.5 bhp,5
Mercedes-Benz S-Class S 350 CDI,2017,76050,47000,Diesel,Dealer,Automatic,First Owner,13.5 kmpl,2987 CC,282 bhp,5
BMW 5 Series 523i,2010,12675,72200,Petrol,Dealer,Automatic,Second Owner,10.8 kmpl,2497 CC,150 bhp,5
Hyundai Elantra S,2016,10465,49900,Petrol,Dealer,Manual,First Owner,16.3 kmpl,1797 CC,147.5 bhp,5
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,34125,9000,Diesel,Dealer,Automatic,First Owner,13.6 kmpl,1999 CC,177 bhp,5
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,10543,11000,Petrol,Dealer,Manual,First Owner,17.0 kmpl,1198 CC,108.5 bhp,5
Volkswagen Vento Petrol Highline,2011,4875,49000,Petrol,Individual,Manual,First Owner,15.04 kmpl,1598 CC,103.6 bhp,5
Hyundai Elantra SX,2012,7150,95000,Petrol,Individual,Manual,First Owner,16.3 kmpl,1797 CC,147.5 bhp,5
Skoda Rapid 1.6 MPI AT Elegance,2016,8385,11000,Petrol,Dealer,Automatic,First Owner,14.3 kmpl,1598 CC,103.5 bhp,5
Mercedes-Benz CLA 200 CGI Sport,2018,33150,18000,Petrol,Dealer,Automatic,First Owner,15.04 kmpl,1991 CC,183 bhp,5
Maruti Ertiga ZXI,2014,7787,46100,Petrol,Dealer,Manual,First Owner,16.02 kmpl,1373 CC,93.7 bhp,7
Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,35100,16000,Petrol,Dealer,Automatic,First Owner,14.74 kmpl,1991 CC,181.04 bhp,5
Honda City V AT,2017,11375,18000,Petrol,Dealer,Automatic,First Owner,15.6 kmpl,1497 CC,116.3 bhp,5
Toyota Glanza V CVT,2019,11634.987,9654,Petrol,Dealer,Automatic,First Owner,19.56 kmpl,1197 CC,81.80 bhp,5
Maruti Alto K10 VXI,2011,2275,11000,Petrol,Dealer,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,5
Maruti Swift VXI,2012,4420,24300,Petrol,Dealer,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,5
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,19825,42163,Diesel,Dealer,Automatic,Second Owner,11.36 kmpl,2755 CC,171.5 bhp,7
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,13325,8000,Diesel,Dealer,Automatic,First Owner,21.5 kmpl,1497 CC,108.5 bhp,5
BMW 3 Series 320d Luxury Line,2016,27950,30000,Diesel,Dealer,Automatic,First Owner,22.69 kmpl,1995 CC,190 bhp,5
Toyota Camry 2.5 Hybrid,2016,24700,41000,Petrol,Dealer,Automatic,First Owner,19.16 kmpl,2494 CC,157.7 bhp,5
BMW 5 Series 520d Luxury Line,2016,37700,12000,Diesel,Dealer,Automatic,First Owner,18.12 kmpl,1995 CC,190 bhp,5
Toyota Camry W4 (AT),2009,5850,71000,Petrol,Dealer,Automatic,First Owner,12.1 kmpl,2362 CC,164.7 bhp,5
Maruti Ertiga BSIV ZXI Plus,2016,11050,20000,Petrol,Individual,Manual,First Owner,17.5 kmpl,1373 CC,91.1 bhp,7
Volvo XC90 T8 Excellence BSIV,2017,130000,30000,Petrol,Individual,Automatic,First Owner,42.0 kmpl,1969 CC,400 bhp,4
Volkswagen Vento Diesel Highline,2011,3900,100000,Diesel,Individual,Manual,Second Owner,20.54 kmpl,1598 CC,103.6 bhp,5
Ford Figo Aspire 1.2 Ti-VCT Trend,2018,7475,9500,Petrol,Individual,Manual,First Owner,18.16 kmpl,1196 CC,86.8 bhp,5
Ford Figo Diesel LXI,2011,2080,120000,Diesel,Individual,Manual,First Owner,20.0 kmpl,1399 CC,68 bhp,5
Maruti Swift VXI Optional,2015,6695,36600,Petrol,Individual,Manual,First Owner,20.4 kmpl,1197 CC,81.80 bhp,5
Maruti Wagon R AMT VXI,2015,5070,50000,Petrol,Individual,Automatic,Second Owner,20.51 kmpl,998 CC,67 bhp,5
Hyundai i20 Magna 1.2,2016,7150,14000,Petrol,Individual,Manual,Second Owner,18.6 kmpl,1197 CC,81.83 bhp,5
Maruti 800 Std,1999,520,40000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,4
Maruti Ritz VDi,2010,2860,120000,Diesel,Individual,Manual,First Owner,21.1 kmpl,1248 CC,73.9 bhp,5
Hyundai Grand i10 Magna,2015,5525,70000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,82 bhp,5
Volkswagen Ameo 1.0 MPI Trendline,2019,6240,13000,Petrol,Individual,Manual,First Owner,19.44 kmpl,999 CC,75 bhp,5
Hyundai Grand i10 Sportz,2014,5200,60000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,1197 CC,82 bhp,5
Maruti Swift Dzire VXI,2014,6331,35000,Petrol,Individual,Manual,First Owner,19.1 kmpl,1197 CC,85.8 bhp,5
Hyundai Xcent 1.2 Kappa S,2016,5018,44000,Petrol,Individual,Manual,Second Owner,19.1 kmpl,1197 CC,82 bhp,5
Honda City 1.5 EXI,2005,1300,120000,Petrol,Individual,Manual,Second Owner,13.0 kmpl,1493 CC,100 bhp,5
Toyota Corolla Altis Diesel D4DG,2010,3900,60000,Diesel,Individual,Manual,First Owner,21.43 kmpl,1364 CC,87.2 bhp,5
Daewoo Matiz SD,2000,1300,60000,Petrol,Individual,Manual,First Owner,18.5 kmpl,796 CC,53 bhp,5
Toyota Fortuner 4x2 Manual,2014,22750,30000,Diesel,Individual,Manual,Second Owner,13.0 kmpl,2982 CC,168.5 bhp,7
Mahindra KUV 100 mFALCON G80 K8,2016,5850,15000,Petrol,Individual,Manual,Second Owner,18.15 kmpl,1198 CC,82 bhp,6
Tata Zest Quadrajet 1.3 75PS XM,2017,6370,90000,Diesel,Individual,Manual,First Owner,22.95 kmpl,1248 CC,74 bhp,5
Honda City 1.5 S MT,2009,4485,47000,Petrol,Individual,Manual,Second Owner,17.0 kmpl,1497 CC,118 bhp,5
Maruti Zen LXI,2005,1105,90000,Petrol,Individual,Manual,First Owner,17.3 kmpl,993 CC,60 bhp,5
Maruti Wagon R VXI BS IV with ABS,2010,2795,120600,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,5
Hyundai Verna Transform SX VTVT,2010,4160,100000,Petrol,Individual,Manual,Third Owner,16.2 kmpl,1599 CC,103.2 bhp,5
Maruti Swift Dzire VXI,2016,5979.987,60000,Petrol,Individual,Manual,Second Owner,20.85 kmpl,1197 CC,83.14 bhp,5
Hyundai Getz GLS,2005,845,86000,Petrol,Individual,Manual,First Owner,15.3 kmpl,1341 CC,83 bhp,5
Hyundai Elite i20 Sportz Plus BSIV,2020,9360,5000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.86 bhp,5
Maruti Ciaz 1.3 Alpha,2017,10400,37000,Diesel,Individual,Manual,First Owner,28.09 kmpl,1248 CC,88.5 bhp,5
Tata Tigor 1.2 Revotron XZ,2019,6760,14000,Petrol,Individual,Manual,First Owner,20.3 kmpl,1199 CC,84 bhp,5
Maruti Ertiga VDI,2015,7540,70000,Diesel,Individual,Manual,First Owner,20.77 kmpl,1248 CC,88.76 bhp,7
Toyota Etios GD,2012,3055,120000,Diesel,Individual,Manual,First Owner,,,,
